iter	Passed	Remaining
956	2767	124
957	2769	121
958	2771	118
959	2773	115
960	2776	112
961	2778	109
962	2780	106
963	2782	103
964	2784	100
965	2790	98
966	2792	95
967	2794	92
968	2796	89
969	2798	86
970	2800	83
971	2802	80
972	2805	77
973	2807	74
974	2809	72
975	2811	69
976	2813	66
977	2814	63
978	2816	60
979	2820	57
980	2823	54
981	2825	51
982	2828	48
983	2836	46
984	2839	43
985	2841	40
986	2843	37
987	2845	34
988	2848	31
989	2850	28
990	2852	25
991	2854	23
992	2855	20
993	2857	17
994	2859	14
995	2861	11
996	2864	8
997	2866	5
998	2868	2
999	2869	0
